material,id_producing_plant,cod_cliente,tipo_costo,mes,year,valor,integration_id,record_key_hash,execution_id,create_timestamp,last_updated_timestamp
AA648081,SP00,66336,ESCENARIOS,9,2026,0,AA648081~SP00~66336~ESCENARIOS~2026~9,c0b7a31cf11ca1746d18e0386d03c3a28068ca77d1f8953617e1209df14655f4,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA018685,400000105,30001,STRATEGIC MATERIALS,1,2026,0,BA018685~400000105~30001~STRATEGIC MATERIALS~2026~1,395886c39f98629e148a09b96385987bb57d9c4f9a28641dfcd8fd527e0fe1f3,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA004908,SP00,66624,ESCENARIOS,6,2026,0,BA004908~SP00~66624~ESCENARIOS~2026~6,9b3c81ddd12c39ee30416a3b7fad816a2f8519a34d4f6ed178837390f25a52c7,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA014321,400000105,30001,STRATEGIC MATERIALS,7,2026,0,BA014321~400000105~30001~STRATEGIC MATERIALS~2026~7,cdbce8739c904c1ad5c0889011d982a1905b8469e55070c36ed7e2ee425ea40a,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA012739,SP00,2060890,RAW MATERIALS,4,2026,0,BA012739~SP00~2060890~RAW MATERIALS~2026~4,e7b5b9781a6496182534c004eff0f3ffbae84fcd9e2e7203836b2c6d96b0d9e0,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA005471,SP00,66328,STRATEGIC MATERIALS,5,2026,0,BA005471~SP00~66328~STRATEGIC MATERIALS~2026~5,7520a33d9e9f3c995c3347dce90642adfc9a4a2df1a4152244ec0a6b7d0a017f,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA685006,GP00,2060885,RAW MATERIALS,3,2026,0,AA685006~GP00~2060885~RAW MATERIALS~2026~3,53e6d11fa046d909b8f780495a93d964ffd58e65c8802429cab4b3ee9013d828,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA007153,400000105,30001,RAW MATERIALS,7,2026,0,BA007153~400000105~30001~RAW MATERIALS~2026~7,17f62e1fae296fb07c43d69b3669771ef98860a29fdbad99aded8ed35ee389e0,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA007455,SP00,68537,ESCENARIOS,3,2026,0,BA007455~SP00~68537~ESCENARIOS~2026~3,2d51caf0ae4739aa59d9b9b1a2b300b5d3c20c062a5a6f6771e7841cbfa9455f,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA0266382,100011123,66385,PRODUCTION FEE,1,2026,0,BA0266382~100011123~66385~PRODUCTION FEE~2026~1,2a5a91c82d67a25f43e4f25651eecc34c9bec063e2fbe9d4ed60124de1d218f8,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA123108,SP00,66332,FREIGHT,4,2026,0,AA123108~SP00~66332~FREIGHT~2026~4,e92eba92bafec98edd8d20c4f7c5db804000bec45ed25dbe8ae520dcf3f6bf53,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA000221,400000105,30001,ESCENARIOS,3,2026,0,BA000221~400000105~30001~ESCENARIOS~2026~3,216c6496e7a9468c4d3b61d39f91a486d47103ca8c2eb0f8d10e8af4fd225ae1,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA065070,SP00,66378,PRODUCTION FEE,11,2026,1.13,AA065070~SP00~66378~PRODUCTION FEE~2026~11,267687a3e6977a753d8fc2b50b3dde380022276a04151311fe19a5daaace8f53,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA583391,J001,66402,RAW MATERIALS,2,2026,7.27,AA583391~J001~66402~RAW MATERIALS~2026~2,c59ad6c2efd2482bd6d245a908f496abb284405d8ef906e3da3fef28c24ce083,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
AA291209,SP00,66367,FREIGHT,11,2026,0.6295454545454545,AA291209~SP00~66367~FREIGHT~2026~11,ac1afe0492f207ddf58be4ea984cf659858fa28d12e8e8319f655aa06b4ba0a9,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA006401,SP00,66367,RAW MATERIALS,8,2026,3.4382074400860057,BA006401~SP00~66367~RAW MATERIALS~2026~8,abfc2fed04a856b0c2f8cfeb20a0e0fa66bd74f2c33d68aaf2e79c7d26bb5f11,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA013905,400000105,30001,STRATEGIC MATERIALS,6,2026,0,BA013905~400000105~30001~STRATEGIC MATERIALS~2026~6,d1f2dcd53cba4e948e45751d008904d310a984d530f8bf5d436801c808752eeb,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
BA019928,400000105,30001,ESCENARIOS,3,2026,0,BA019928~400000105~30001~ESCENARIOS~2026~3,169bb10cd044c88cb57a8d7482d1aae81120691405d0926ac416d4baa8bba54b,c51d6be6-a137-435f-be48-71f7a9500549,2026-02-20T14:16:34.884Z,2026-02-25T12:17:45.205Z
